i_in period vb_nfet vb_pfet
1E-05 2.1E-06 0.765063 0.801222
2E-05 2.74176E-06 0.85441 0.734687
3E-05 1.17893E-06 0.92486 0.686465
4E-05 7.146E-07 0.985599 0.646544
5E-05 5.43609E-07 1.04 0.611683
6E-05 4.53112E-07 1.08982 0.580473
7E-05 4.0118E-07 1.13613 0.552317
8E-05 3.67961E-07 1.17966 0.527141
9E-05 3.46058E-07 1.22091 0.505145
0.0001 3.26383E-07 1.26026 0.48633
0.00011 3.12644E-07 1.298 0.470297
0.00012 3.00536E-07 1.33434 0.456509
0.00013 2.9231E-07 1.36948 0.444498
0.00014 2.8462E-07 1.40355 0.433909
0.00015 2.76155E-07 1.43668 0.424475
0.00016 2.1E-06 1.46897 0.415995
0.00017 2.1E-06 1.50051 0.408316
0.00018 2.60409E-07 1.53136 0.401318
0.00019 2.56031E-07 1.5616 0.394904
0.0002 2.54422E-07 1.59126 0.388999
0.00021 2.50557E-07 1.62041 0.383538
0.00022 2.4627E-07 1.64908 0.37847
0.00023 2.43568E-07 1.67731 0.373751
0.00024 2.1E-06 1.70514 0.369344
0.00025 2.38519E-07 1.73259 0.365216
0.00026 2.1E-06 1.75968 0.361343
0.00027 2.34582E-07 1.78646 0.357699
0.00028 2.1E-06 1.81292 0.354264
0.00029 2.1E-06 1.8391 0.351021
