i_in period vb_nfet vb_pfet
1E-05 2.1E-06 0.764066 0.802543
2E-05 2.55472E-06 0.852416 0.737303
3E-05 1.11231E-06 0.921871 0.690355
4E-05 6.75976E-07 0.981616 0.651683
5E-05 5.10458E-07 1.03502 0.618031
6E-05 4.2583E-07 1.08385 0.587954
7E-05 3.79569E-07 1.12917 0.56078
8E-05 3.49432E-07 1.17171 0.536303
9E-05 3.22952E-07 1.21198 0.514607
0.0001 3.06044E-07 1.25035 0.495754
0.00011 2.93818E-07 1.28711 0.479518
0.00012 2.84942E-07 1.32249 0.465474
0.00013 2.74924E-07 1.35666 0.453196
0.00014 2.69069E-07 1.38977 0.442342
0.00015 2.60194E-07 1.42194 0.432649
0.00016 2.53898E-07 1.45327 0.423917
0.00017 2.50143E-07 1.48384 0.415991
0.00018 2.47656E-07 1.51373 0.408753
0.00019 2.40691E-07 1.543 0.402104
0.0002 2.38408E-07 1.57171 0.395969
0.00021 2.34787E-07 1.59989 0.390284
0.00022 2.31835E-07 1.6276 0.384995
0.00023 2.29498E-07 1.65487 0.38006
0.00024 2.25035E-07 1.68172 0.375441
0.00025 2.26856E-07 1.7082 0.371107
0.00026 2.1E-06 1.73433 0.367029
0.00027 2.20101E-07 1.76012 0.363185
0.00028 2.18697E-07 1.78561 0.359554
0.00029 2.17134E-07 1.81082 0.356118
